sx,sx2,sy,sy2,gamma,delta
17043.654002,8261.75158486,41159.165968,37831.0799539,0.64,0.04
13791.747296,4984.99750465,33671.192614,25340.3483298,1.68,0.8
20604.920699,12761.3361212,31974.150681,23016.9037364,0.12,0.88
19097.889688,10581.3823796,24730.4872344,14453.2375794,0.88,1.6
18685.385613,10192.3403082,30933.304583,21566.9136155,0.52,1
17428.383205,8642.10297025,41506.264392,38484.0212194,0.52,0
20787.988117,12962.2096793,21668.6982149,11915.1412491,0.52,2
11557.2337326,3315.87007853,40060.717825,35817.9454286,1.68,0.2
12113.5431172,3687.78508692,38077.955599,32343.1774812,1.68,0.4
22295.536141,14459.5965928,31953.171566,22963.3125676,0.12,0.84
13162.13765,4484.56292393,35841.80137,28666.2953651,1.68,0.6
14149.480524,5331.01230384,26749.300668,16446.2996301,1.88,1.48
20646.821645,12264.7507903,22249.117343,12022.7738594,0.68,1.8
21179.702583,12822.2291787,21604.8724618,11451.2247686,0.76,1.84
15005.059426,6173.51147941,29855.12146,20144.6031954,1.56,1.16
14851.558914,5996.76534118,30247.565506,20627.3059248,1.56,1.12
17728.835304,9274.32160514,26769.668114,16711.4316412,0.92,1.48
20897.593789,12966.4163623,32638.006866,23923.2414967,0.24,0.8
17544.735052,8940.81194072,41291.818861,38093.2615295,0.44,0
19527.85369,11244.3863555,30729.085217,21310.6897586,0.44,1
21765.716361,14085.5945117,21180.6128503,11511.6457837,0.44,2
19190.82739,10767.4621043,39179.204767,34268.8458023,0.24,0.2
20049.72992,11920.5067036,34902.314458,27242.5793371,0.24,0.6
18596.500113,10090.6935503,26443.1711948,16242.6775794,0.92,1.44
18613.761689,10182.7309154,37168.138864,30839.2726711,0.24,0.4
13818.8240619,5095.50422095,41106.768318,37723.6853148,1.04,0.08
14475.830321,5588.89079527,31813.368259,22687.9007092,1.56,0.96
16519.355977,7655.06961502,30821.512045,21388.3575317,1.08,1.04
14832.947605,5933.7147557,32690.585068,23927.2639087,1.36,0.88
13046.233797,4530.09857792,32857.71555,24173.568121,1.56,0.92
14657.165409,5776.96857537,33116.402164,24536.1627093,1.36,0.84
11953.7452063,3564.00748887,36804.166497,30213.4818718,1.92,0.52
14115.228501,5352.63806614,41459.035516,38383.584937,1.04,0.04
11636.7716413,3370.28380861,36379.908569,29520.1301383,1.92,0.56
16005.051014,7159.95627183,30463.497279,20908.7677979,1.08,1.08
17604.676362,8673.48412896,24209.1235674,13732.3270646,1.2,1.64
17470.110126,8656.29752512,27657.934901,17481.7063701,1.12,1.32
16894.629827,8056.02798014,24411.4403703,14045.345579,1.2,1.68
17753.775614,8971.7151945,27214.1458345,16999.9018493,1.12,1.36
20627.503204,12691.7235815,32711.314146,24022.8258413,0.08,0.8
13357.154853,4683.36785726,34556.277089,26668.0740905,1.56,0.72
17918.415273,9204.39478007,27571.385789,17457.8964046,2,1.32
13462.366602,4745.19263974,34146.330688,26046.8340778,1.56,0.76
23453.378394,16166.8083674,21187.6489113,11238.6420669,0.2,1.88
19269.870601,10960.8120592,27005.227122,16875.1125239,2,1.36
17173.034042,8373.51099369,21880.0902764,11753.3666306,1.4,1.96
13698.3751893,4995.0896041,37419.547617,31237.8279029,1.24,0.44
17616.979447,8711.44641644,21913.868282,11733.8026829,1.4,1.92
19345.116137,10957.8900681,29222.454297,19430.4171968,0.52,1.16
14778.233527,5930.09962905,36881.670957,30351.3916311,1.24,0.48
17321.183295,8281.0917967,21357.437106,11209.5074084,1.6,1.96
19646.03122,11096.9338868,29751.280906,20029.1443951,0.6,1.08
13182.719093,4522.03003733,37527.173884,31414.6245965,1.48,0.44
15933.3942628,7097.39322506,37973.710133,32176.4296612,0.84,0.36
18420.638219,9699.37556519,26322.1972917,16060.5612953,1.04,1.44
15821.850862,7035.65136702,38339.538882,32801.2162679,0.84,0.32
19177.267327,10742.4655816,28786.114579,18889.4076941,0.64,1.2
10933.3118535,2907.43724278,39805.624161,35354.6308154,1.88,0.24
12978.580215,4383.49587797,37069.016325,30651.3219859,1.48,0.48
20039.107074,11972.9195783,24931.9677318,14877.737925,0.64,1.6
20229.449189,11810.5106226,26310.628425,16040.8789004,0.64,1.4
17947.595142,9428.90269237,35296.77629,27838.756417,2,0.56
15515.330589,6681.23218726,36153.948206,29171.9315255,2,0.52
15238.818194,6352.72996099,29306.822151,19424.0955993,1.44,1.2
19662.110369,11485.7175854,37015.077322,30592.5697232,0.16,0.4
18483.260516,9748.01016959,29643.069,19899.857566,0.8,1.12
20645.397545,12649.325205,34789.406803,27075.1666835,0.16,0.6
16131.676043,7226.90334844,25216.989299,14856.3519599,1.44,1.6
18309.060374,9638.82170621,30938.658771,21566.6889985,0.72,1
18123.081039,9655.92002898,29541.691565,19827.3844432,0.8,1.16
19867.120479,11723.5755029,39059.825407,34061.2009093,0.16,0.2
