sx,sx2,sy,sy2,gamma,delta
12343.7568255,3863.18630784,40977.925223,37476.7944961,1.44,0.12
21657.252025,13723.7966678,21902.5426338,11813.787443,0.4,1.84
12312.889904,3852.04309274,40458.342415,36534.9237632,1.44,0.16
12375.6734248,3888.59973732,36323.939279,29432.360297,1.76,0.56
12747.12122,4160.50793515,36695.604675,30035.9610906,1.76,0.52
21885.401701,13855.7612461,25866.4222338,15524.4212364,0.36,1.4
21798.284863,13858.0998435,22344.2063874,12231.0793301,0.36,1.8
22606.000271,15036.2896497,24429.8437226,14231.4283805,0.16,1.56
12729.4303423,4178.78309996,40319.719295,36282.6343018,0,0.2
14813.08637,5921.85041874,23614.8296082,13275.7688049,1.88,1.8
22196.425654,14591.6681603,24902.5736149,14662.0902999,0.16,1.52
15748.9096733,6795.38839992,34651.831131,26824.4775594,1.16,0.68
15541.843526,6692.08758498,37832.186816,31937.2633199,0,0.4
13537.25134,4784.47656286,29634.655332,19840.9570533,1.88,1.2
17699.023607,9014.35073309,41066.038651,37660.9218581,0.48,0.04
21869.765085,13850.6280388,32485.118501,23695.240599,0,0.8
14846.217471,5903.99752522,24979.461953,14453.6937163,1.88,1.6
13883.774476,5052.76121467,27290.437702,16972.6789299,1.88,1.4
18782.676673,10057.8594487,25558.0665887,15239.3760935,1.96,1.48
18559.388153,9990.8984334,40563.560011,36739.1696309,0.28,0.08
16159.831644,7277.3513621,31312.207406,22044.9634423,1.28,1
12684.4496896,4148.79275775,42077.395961,39543.8986573,1.28,0
18720.484068,10117.6737605,41057.176756,37642.3361899,0.28,0.04
18669.400458,10093.7993463,37622.739685,31598.4692405,0.36,0.36
18721.191411,10224.1200813,36362.382683,29524.9841792,0.4,0.48
18697.710775,10187.4068012,38047.60289,32314.3113382,0.36,0.32
19858.438847,11373.1237013,36728.218724,30127.4509406,0.4,0.44
19251.986481,10757.2851602,31205.680162,21931.5713729,0.52,0.96
19270.700903,10859.9286146,31646.578237,22529.0354586,0.52,0.92
12618.1607575,4088.84407603,37494.929211,31356.8617103,1.6,0.44
16272.389408,7222.17136366,26388.364572,15994.6491603,1.52,1.44
15699.387422,6775.96038853,26318.351226,15961.9980947,1.52,1.48
12597.7700483,4045.81457857,37126.195279,30745.714248,1.6,0.48
19561.064847,11147.6290373,31655.192404,22536.1060769,0.08,0.92
22616.058396,15051.9403533,30592.998306,21160.0442892,0.08,0.96
12374.1525539,3932.33494386,41894.718074,39211.6345308,1.36,0
15045.463406,6180.56408906,31433.127849,22182.7379626,1.36,1
21123.036405,13280.7959073,21870.0112664,11906.3010709,0.36,1.92
13636.2488334,4933.75335982,39398.935427,34638.9036452,1.32,0.24
21207.098352,13480.1184317,21860.3608371,12122.8016817,0.36,1.96
12768.63449,4196.21392495,34661.832614,26822.9496868,1.72,0.72
12925.4236077,4293.26395741,34198.056863,26121.5759,1.72,0.76
14232.7340798,5376.89469334,39057.832401,34035.7068538,1.32,0.28
12304.0908273,3861.3839434,35509.084585,28133.0478282,1.84,0.64
14254.707311,5420.4697922,31060.619134,21664.8408437,1.6,1.04
14144.367424,5324.53558803,32806.486722,24090.5775463,1.52,0.88
14753.704924,5853.9152831,30605.324483,21084.146626,1.6,1.08
14058.839451,5286.87222927,33286.287269,24780.9229394,1.52,0.84
12519.3542957,3964.66969435,35045.885914,27414.2063827,1.84,0.68
16621.899982,7545.66526942,27952.312344,17761.4602443,1.4,1.28
17744.095746,8797.14905554,21692.3589472,11478.0734932,1.28,1.92
15220.213713,6352.82411788,38948.704637,33849.4709626,0.96,0.28
15287.13743,6450.19041488,39230.430854,34345.6359322,0.96,0.24
10521.5309129,2652.27387406,41530.338957,38507.7592856,1.88,0.08
15037.009338,6187.68239091,36021.570869,28961.4975125,1.16,0.56
14292.285769,5435.28070992,29041.103735,19105.0691069,1.84,1.24
18577.093734,9918.67447981,37295.188644,31051.393671,0.52,0.4
14488.510292,5725.8891623,36468.967587,29676.2798584,1.16,0.52
13916.571031,5119.24146097,28775.503907,18784.7722657,1.84,1.28
19575.712576,11193.3033067,30355.653806,20838.0221991,0.6,1.04
16092.720961,7176.19389705,31649.55302,22487.7395171,1.12,0.96
15287.554865,6434.55679655,39298.039978,34463.6955216,0.92,0.24
16356.063847,7475.45181212,32085.409954,23097.839954,1.12,0.92
14927.132523,6123.67386344,38860.257774,33699.1103318,0.92,0.28
17839.765216,9194.36357081,39801.959165,35363.655524,0.32,0.16
18291.886122,9710.07165406,40174.907205,36034.8193908,0.32,0.12
14278.88943,5413.64624759,26063.581637,15631.1671833,1.92,1.52
18414.600311,9636.88272612,22634.6206428,12363.0845842,1.24,1.8
14127.752933,5308.48460234,25897.642155,15509.4895319,1.92,1.56
13106.2166117,4436.00341096,32029.952178,22980.161106,1.84,0.96
16693.62228,7864.60251712,27091.658681,16867.7591765,1.24,1.4
17267.447224,8460.4495306,25000.803882,14623.6768327,1.24,1.6
15859.721899,6998.40823805,29329.813739,19476.7673833,1.24,1.2
17153.064075,8343.80132474,36625.391205,29946.2634873,0.72,0.48
23131.753867,15485.4347715,20434.1022689,10461.2240441,0.32,1.96
20693.155794,12478.8121468,36138.278744,29183.0347423,0.24,0.48
22381.96751,14688.2326323,21138.7627762,11203.9290364,0.32,1.92
18283.928239,9512.75398824,36876.077642,30357.3317087,0.72,0.44
19824.799564,11578.2597398,36611.981776,29937.0249784,0.24,0.44
12477.8610115,3955.16481883,41036.139395,37581.831857,1.4,0.12
16753.651048,7759.56232371,23074.9009629,12614.2395471,1.56,1.76
13010.702772,4406.005274,40409.618437,36442.958996,1.4,0.16
11245.1411887,3115.09168183,37570.513909,31481.1847,1.96,0.44
16862.577433,8007.65565996,29075.680809,19166.1518522,1.12,1.2
17739.573459,8950.15746352,24950.7101806,14642.7847329,1.12,1.6
15249.299237,6352.03777941,31012.381803,21630.6776352,1.36,1.04
17305.560918,8445.23418966,26823.6145928,16524.8438453,1.12,1.4
18260.677881,9663.82539989,37702.475293,31731.6842832,0.44,0.36
16794.196493,8052.25574476,30009.23184,20349.6755262,1,1.12
21732.373143,13948.8034698,23043.8132959,12867.6851771,0.32,1.72
19093.43414,10320.0183168,23852.7155912,13429.4117088,1.08,1.64
19411.823374,10835.6161978,23944.3302533,13568.1680141,0.92,1.64
21084.932397,13170.8746484,23067.1550166,12903.5948806,0.32,1.76
16458.392848,7668.64912533,26481.437981,16190.4304515,1.2,1.48
14064.202425,5268.93182888,29512.077901,19675.7842437,1.72,1.2
18878.427071,10239.6278863,32942.167502,24323.231685,0.52,0.8
16382.546066,7475.80699947,34551.394646,26678.2632668,1.04,0.68
20330.333514,12133.130482,32744.134109,24061.2113074,0.4,0.8
11635.3230529,3355.57435179,38527.990609,33112.863988,1.92,0.36
18338.106683,9580.21260094,38142.130966,32471.7981672,0.6,0.32
15704.72779,7016.8606781,35072.884269,27469.3546007,1.04,0.64
18883.314262,10241.6983943,35077.911619,27502.661449,0.52,0.6
12834.886817,4284.47685404,38581.175521,33206.6524137,1.92,0.32
17592.665608,8820.19415178,37817.943129,31921.1243975,0.6,0.36
17875.363012,8933.66053779,26250.147437,15915.2496902,1.2,1.44
17870.941235,9065.4873007,39528.575221,34874.3942517,0.52,0.2
18131.981943,9203.96258278,29076.715626,19153.0372252,1.12,1.16
16964.737897,8037.85270903,29790.120414,20047.5765015,1.12,1.12
13748.1107261,5058.96819286,36957.198601,30470.0843423,1.36,0.48
12968.0854907,4364.475697,36674.403046,30002.4953583,1.56,0.52
14900.939175,6082.66902283,34800.197608,27045.8261173,1.24,0.68
12016.3505984,3637.11800436,42201.853144,39775.1140628,1.44,0
13139.057552,4495.10780267,36255.077995,29326.5984928,1.56,0.56
15067.287322,6274.61780985,35177.958616,27630.7390953,1.24,0.64
14663.5246187,5721.81000211,37409.735155,31225.8138921,1.36,0.44
21519.507299,13393.4504474,21463.5265151,11350.356474,0.56,1.88
15118.332292,6156.66015528,21478.8658022,11232.9866144,1.92,2
20361.561364,12268.51972,22700.5640064,12704.3235823,0.56,1.84
11790.7186736,3495.88143005,41949.083747,39306.594728,1.92,0
12853.78845,4265.31596178,31788.153222,22651.7351639,1.92,1
13060.3992153,4451.0804267,40799.789481,37159.4335621,1.24,0.12
18270.095697,9518.39426365,27861.964668,17733.0371105,1.04,1.28
18104.229683,9312.10774071,28320.992782,18269.7427889,1.04,1.24
10501.394268,2649.69951223,41715.939446,38876.1740422,1.88,0.04
14140.333978,5353.93311725,30776.459465,21303.4204568,1.64,1.08
20400.686716,12284.0142937,33141.674074,24633.4016939,0.4,0.76
15931.055152,7003.88532019,34220.527725,26175.0963868,1.12,0.72
15118.976335,6381.86043579,33979.347408,25811.6419022,1.12,0.76
14576.535132,5678.47606842,31006.804168,21603.869024,1.64,1.04
17760.331613,8750.51769896,27701.982932,17468.7634416,1.24,1.28
19043.11916,10593.1763225,33802.297066,25581.9508635,0.4,0.72
21207.70417,13336.4922225,27125.282797,16989.8519209,0.2,1.32
16699.834716,7735.55759724,28519.861163,18480.5975439,1.24,1.24
19499.762739,10997.7046955,26871.431466,16653.9044239,0.8,1.36
13807.765805,5083.45397655,33352.687255,24879.3953287,1.48,0.84
14653.717033,5808.90649258,32697.170617,23935.4952334,1.48,0.88
19825.635669,11475.2948673,30267.396482,20711.1813721,0.44,1.04
18688.190706,10115.1945394,22980.1250054,12841.6361102,2,1.8
22013.916117,14323.6701968,26527.0229281,16338.3559579,0.2,1.36
13938.030682,5085.62606633,27220.881861,16893.2885534,2,1.4
15424.35811,6449.37873798,24214.1811192,13734.245716,1.72,1.68
13149.1400719,4469.68004275,32125.64167,23120.4817631,1.8,0.96
12967.861731,4344.46309471,32579.561513,23759.2839895,1.8,0.92
20141.068882,12007.2309868,25335.8139614,15174.5048721,2,1.52
14593.38033,5653.61373171,25716.323791,15347.6210102,2,1.56
16067.380221,7169.60979118,25146.51962,14787.7916747,2,1.6
19267.406363,10878.4757829,30060.844692,20444.7751298,0,1.08
17264.068435,8472.7261721,30956.970863,21588.1336378,0,1.04
17967.89783,9223.47190634,36013.462626,28959.4918385,0.8,0.52
16902.807,8168.75316564,35754.588379,28544.9206163,0.8,0.56
23516.358593,16064.0479958,30362.268883,20858.1600263,0.04,0.96
20052.195119,11608.659884,31536.927632,22379.1732961,0.04,0.92
19114.985801,10631.8416388,28243.086824,18199.6575714,0.6,1.24
20084.480541,12010.4159132,31165.551323,21909.0720328,0.2,0.96
21546.482517,13596.7874801,31166.208886,21895.4554197,0.2,0.92
11973.462448,3590.98788107,34328.227278,26312.9198833,2,0.76
20833.227365,12558.0035397,23004.955961,12748.057415,0.68,1.72
19217.284268,10615.1075494,33415.864744,25013.5101829,2,0.72
21443.405785,13257.8110508,22435.730905,12290.5044084,0.68,1.76
19257.94167,10941.9752066,37404.042851,31230.6182642,0.32,0.36
17972.151337,9191.40648009,28432.647351,18403.6868002,0.92,1.24
18743.403604,10173.086984,36857.487232,30329.7156262,0,0.44
13130.4148572,4426.66842576,30825.379173,21353.0382176,1.88,1.08
20520.87744,12441.9267289,36122.375346,29155.9667283,0,0.48
11668.6187776,3377.82537495,40589.599302,36770.3404491,1.64,0.16
18432.024364,9857.15388117,41016.60445,37569.3486889,0.2,0.04
11606.9947453,3336.94386021,40957.66013,37446.1735945,1.64,0.12
12121.1566953,3675.7395847,35954.587213,28842.0810399,1.92,0.6
14542.545217,5733.10211775,39756.464978,35278.1230417,1.04,0.2
11472.2585311,3240.43893822,38143.298955,32452.1683115,1.92,0.4
10909.7815869,2890.52159857,40151.091996,35978.0864108,1.92,0.2
16357.274667,7499.74072019,35411.117783,28001.6196303,1.04,0.6
14840.365864,6128.86702187,37514.528198,31394.832601,1.04,0.4
16218.124983,7340.17148196,33359.58427,24902.7828785,1.04,0.8
14968.7676442,5974.00055133,33293.437425,24788.1394308,1.92,0.8
19039.824992,10366.2943381,35029.334628,27428.7065125,0.72,0.6
16827.777197,8124.37562382,37353.234242,31137.6249119,0.72,0.4
16313.957086,7497.37210443,39582.997903,34969.6063368,0.72,0.2
15328.766578,6463.92090041,23133.3814587,12949.1355842,1.72,1.88
18427.09437,9809.75740167,32989.569746,24394.8811551,0.72,0.8
17380.623783,8499.95937764,26501.544834,16212.822169,1.12,1.44
12266.4507199,3817.25675868,41326.555084,38128.0153552,1.44,0.08
12458.2954666,4001.59578784,41357.532908,38216.8560818,1.44,0.04
20759.749037,13103.3881865,29506.967728,19837.9537762,0.04,1.12
22903.606854,15415.7175646,28279.075615,18309.548882,0.04,1.16
23995.525468,16881.1296279,22913.1935849,12858.9089779,0.16,1.68
23767.195188,16463.4448408,20703.3010665,10807.2673152,0.24,1.92
22698.433648,15363.4793861,20826.68835,11018.4005307,0.2,2
23009.523213,15424.8543399,20722.1592509,10805.6815662,0.24,1.96
22685.461552,15358.9590596,23762.761368,13605.3469109,0.16,1.64
16364.800279,7363.65622399,33665.958321,25348.9923941,1.16,0.76
21483.06191,13417.3744087,24826.601968,14504.9939911,0.4,1.52
14026.34262,5266.42095948,24808.922263,14497.4385785,1.92,1.72
15825.786291,6927.45715868,34230.104826,26190.5614459,1.16,0.72
20304.926245,12486.0827844,25475.2834475,15392.5393253,0.4,1.56
18115.600567,9628.01059236,35251.786072,27766.6341956,0,0.6
18734.049425,10185.9398962,39738.08591,35251.7145027,0.28,0.16
13710.017747,4967.01379697,27990.964881,17838.0302344,1.96,1.36
17504.51188,8982.42197862,39973.23525,35681.3965667,0.28,0.12
18108.317338,9365.08230844,27433.429433,17280.9124553,1.96,1.32
18688.35656,10162.5392537,38830.872035,33658.4963063,0.36,0.24
15680.956336,6721.71768246,22703.2831227,12296.3864708,1.72,1.84
19546.742746,11146.9247857,31995.105055,23006.533538,0.52,0.88
19454.333841,10922.5815491,35431.012031,28051.7460333,0.4,0.56
19878.535625,11334.7769365,32317.061149,23442.6894705,0.52,0.84
19528.013533,11018.2905015,35844.076107,28702.8605862,0.4,0.52
18761.03576,10361.3704697,38287.196388,32720.0364404,0.36,0.28
15073.00826,6226.38415837,27955.221358,17868.26907,1.52,1.36
15241.397688,6310.35505348,28049.70735,17907.3058348,1.52,1.32
18047.723778,9410.73810603,36857.568969,30326.4093361,0.48,0.44
13525.3482867,4829.93943981,38636.747062,33304.1508693,1.32,0.32
19067.499188,10647.5321475,31837.263708,22797.6715961,2,0.88
13578.623289,4855.20350635,38272.236274,32676.3081437,1.32,0.36
17415.550501,8561.79936243,33124.292881,24568.9513786,0.8,0.8
11122.6368585,3018.61563718,41442.808538,38344.6242188,1.72,0.08
17872.17948,9196.17436506,36506.053629,29754.3995322,0.48,0.48
16414.125788,7578.44305864,39619.989099,35034.1476507,0.8,0.2
17667.252795,8866.43984184,23875.3084601,13549.9954321,1.16,1.72
17021.769422,8222.33650826,35322.487693,27866.6603195,0.8,0.6
12231.2895893,3796.45176729,35514.048808,28142.770227,1.76,0.64
20674.516281,12629.4216076,22851.573594,12792.9830929,0.6,1.8
14893.6730781,5933.57442856,32131.177713,23129.2153297,1.52,0.92
15278.906235,6325.91906277,29553.697201,19711.8839692,1.6,1.16
14697.985967,5777.38454807,31769.775612,22631.2724289,1.52,0.96
14582.842227,5749.50942591,30396.438483,20836.9573029,1.6,1.12
22311.261228,14357.3872692,20587.7937928,10725.4404297,0.64,1.96
21676.761871,13460.3366908,20811.7807513,10786.7625643,0.64,1.92
17095.266713,8306.83304407,33258.726869,24768.6859085,0.92,0.8
19208.416205,10546.1809187,22635.2730398,12418.7724579,1,1.8
18868.095012,10212.2207721,30339.786822,20786.5444587,0.84,1.04
17814.937435,9036.57124801,28880.881207,18942.3810053,1,1.2
15513.131745,6651.89457924,39651.633876,35090.443347,0.92,0.2
15335.0151106,6569.37380345,37554.80221,31466.9886189,0.92,0.4
16379.002149,7516.89670103,35421.196988,28017.5083706,0.92,0.6
12437.0834791,3944.07671297,37140.144887,30768.5363408,1.68,0.48
16555.428151,7611.99583129,31979.685629,22941.7597157,1.2,0.92
14973.723704,6054.18092233,22564.0379972,12222.9210813,1.96,1.88
15945.263842,7014.47272295,31681.098631,22526.1446671,1.2,0.96
18149.040492,9437.19494027,30069.225496,20426.1349525,0.84,1.08
13945.336688,5131.08554014,27821.564373,17628.8342033,1.84,1.36
21024.839345,12839.2538716,28318.144459,18319.811611,0.48,1.2
13974.124263,5096.67120657,27945.686607,17711.0669325,1.84,1.32
20173.758855,11826.9368148,26467.5463059,16227.9723356,0.48,1.4
20591.633958,12278.6040725,24284.1672422,13925.3370403,0.48,1.6
20097.9654,11607.8144159,26260.1338684,15948.6846436,0.6,1.4
17017.557845,8141.50909882,26995.0518943,16741.5721606,1.16,1.4
22325.850617,14473.7692984,30134.977244,20538.8179391,0.16,1
19170.825726,10687.3207973,41316.823942,38126.3053944,0.16,0
22830.914919,15579.0837212,20763.9236707,11051.3408695,0.16,2
16193.704403,7350.53419061,32120.927883,23142.9731511,1.08,0.92
17395.017116,8759.20893529,24450.8987584,14140.9807686,1.12,1.68
16426.747509,7498.08780699,35844.98717,28686.7207207,0.92,0.56
18312.802012,9679.89393591,41153.269211,37813.9716381,0.32,0.04
17275.600898,8413.35064782,31403.023139,22160.4856191,1.08,0.96
16048.686451,7213.322516,36296.453427,29406.4869894,0.92,0.52
18137.893517,9609.08614494,40521.939043,36666.8146494,0.32,0.08
16221.65146,7323.96316566,26586.705315,16292.811452,1.92,1.44
19735.746642,11412.4739705,33686.433815,25415.8166862,0.36,0.72
13432.821755,4776.40966143,32227.02533,23277.9939548,1.6,0.96
14043.288287,5245.95355546,32418.574127,23541.0253841,1.6,0.92
11470.5608921,3252.20889295,36805.843576,30213.3846981,1.84,0.52
19520.577619,11173.8418883,35423.440404,28044.810843,0.24,0.56
16349.946117,7608.79603178,37861.331913,31987.7299623,0.72,0.36
11859.2990583,3515.05214344,36373.53669,29511.1224077,1.84,0.56
20260.254272,11981.600491,35750.398468,28563.310852,0.24,0.52
17343.193151,8484.35920647,38320.387261,32771.9990332,0.72,0.32
17920.62516,9167.95793806,28843.342737,18897.0257321,0.96,1.2
13603.087813,4844.1825564,28392.834732,18305.4965903,1.8,1.32
18651.059953,9921.24616496,26669.167846,16426.7578147,0.96,1.4
19265.288856,10442.7508802,24063.9872654,13608.0254443,0.96,1.6
12547.896011,4058.77792155,41383.661767,38268.2223031,1.4,0.04
19276.064855,10665.5777542,22812.2516038,12611.8812662,0.96,1.8
16324.808204,7397.75923785,27469.52683,17274.6855278,1.36,1.36
12383.9775894,3920.73195156,41265.912053,38020.479256,1.4,0.08
15901.953304,7133.51469231,28193.785992,18150.728575,1.36,1.32
15713.777017,6858.15404088,24590.7154352,14219.1560108,1.56,1.68
18823.459797,10172.4887066,23436.6661449,13109.6716462,0.92,1.72
20514.391571,12080.7628321,22631.8967926,12441.3050319,0.92,1.76
21529.308035,13834.7599386,25509.0224361,15305.5940178,0.32,1.48
18127.831709,9503.85393972,23617.025406,13380.9452924,1.08,1.76
14125.899015,5364.41116907,28046.058849,17917.3708124,1.8,1.36
18381.959204,9507.04128471,23318.1166499,12912.4291667,1.08,1.72
16270.853559,7332.94920569,36266.569243,29358.6194184,1.04,0.52
15443.78706,6592.96802165,35921.399083,28798.1787705,1.04,0.56
16360.334469,7652.86648099,40625.986464,36857.6412138,0.6,0.08
10584.1274733,2697.50785244,41852.901153,39125.3924657,1.92,0.04
16587.805998,7838.15901292,41047.959595,37634.9282042,0.6,0.04
10547.9439917,2666.20586324,41514.61495,38479.4280545,1.92,0.08
17303.613439,8405.89382466,25611.2060318,15231.5110117,1.2,1.52
16816.863482,7850.24287273,30664.277268,21165.9100511,1.12,1.04
17003.885249,8063.99289966,30188.638001,20550.3254569,1.12,1.08
12244.5799593,3784.76977777,39768.404526,35285.84364,1.56,0.24
15976.209261,6977.79866408,31993.637925,22950.9259808,1.24,0.92
16919.034564,7933.12591716,26217.449222,15796.3194544,1.4,1.44
16501.448453,7529.21752844,31551.784112,22355.9866065,1.24,0.96
14413.880177,5545.38496559,36505.892577,29737.604543,1.36,0.52
13866.316443,5129.38031953,36132.235322,29128.1040206,1.36,0.56
11901.0837952,3586.56821579,39121.763867,34150.9826806,1.56,0.28
21037.640671,12977.8487488,21220.0572456,11244.1153459,0.56,1.96
21890.217762,13996.9723116,21080.3006343,11128.9857685,0.56,1.92
16096.622218,7176.57203125,23019.9940567,12726.5869754,1.56,1.84
21647.923837,13490.9901376,23864.8036871,13528.7233162,0.52,1.6
18300.620554,9456.34615511,26890.907403,16601.8313446,1.04,1.36
18361.854861,9564.16272685,27482.947455,17309.1136109,1.04,1.32
21787.830257,13781.285154,21042.0655393,11050.9871991,0.6,1.92
15223.663587,6286.75934933,36816.474849,30244.4917179,1.12,0.48
14235.074347,5421.7098632,30354.750273,20756.2947268,1.64,1.12
14723.955404,5901.30535163,37256.372163,30968.9075609,1.12,0.44
14284.829258,5409.3592164,29728.796303,19919.1750222,1.64,1.16
15803.148699,6870.3127229,33808.333998,25558.0516674,1.08,0.76
18565.569077,9886.79939729,27886.070706,17764.5417175,0.8,1.28
20422.557727,12074.4885043,21785.3830935,11769.5490673,0.88,1.88
17223.013911,8286.42333773,27128.250808,16851.5334375,1.24,1.36
19045.097204,10467.293795,28291.168407,18285.7544078,0.8,1.24
16872.723933,7917.29218146,27691.254858,17493.9368939,1.24,1.32
17419.791451,8719.91847564,32834.301609,24171.3497168,0.84,0.84
22331.861505,14806.6379089,25005.4755312,14817.6413979,0.08,1.52
21376.779116,13279.7478765,24412.5035519,14070.8403271,0.08,1.56
21230.122305,13110.2345426,26972.582036,16775.5389849,0.44,1.32
17777.622062,9099.37747467,32279.938561,23385.827078,0.84,0.88
13434.8266,4758.00096845,32983.263846,24346.6855128,1.8,0.88
12806.492797,4209.22720863,33353.613439,24869.6435883,1.8,0.84
20300.882004,11880.4761397,30498.652594,20997.6437143,0.6,1
16983.879637,8183.99657731,41594.2497,38641.192369,0.6,0
21536.077852,13491.827971,20519.6811878,10668.6194521,0.6,2
16246.238005,7348.37772211,26784.841626,16579.5146766,2,1.44
18206.897998,9464.87667543,25763.2558003,15435.8625657,2,1.48
17854.504062,9129.80973106,40291.769613,36237.6411562,0.56,0.12
16901.899511,8162.42421784,39887.821655,35515.0440694,0.56,0.16
14188.9073109,5378.97067751,33505.745515,25101.6381307,1.96,0.8
12719.6221732,4154.3433281,31397.544256,22119.2742675,1.88,1.04
14292.854225,5556.77218892,39603.826487,35002.2174888,1.96,0.2
14259.48888,5426.41391203,36925.772141,30420.5698454,1.4,0.48
11585.3863669,3323.09394744,36013.251673,28931.6702979,1.96,0.6
11314.8880646,3145.79877584,38084.029525,32351.2142764,1.96,0.4
13064.3111347,4453.46454687,39822.365943,35395.1852507,1.32,0.2
15053.8993495,6162.35221806,36409.739208,29582.1499172,1.28,0.52
13957.4267044,5243.59906092,37716.338977,31733.6955851,1.32,0.4
14296.584748,5519.95389907,35703.219721,28453.4293444,1.32,0.6
14647.401326,5817.15954968,36043.983387,28991.8011554,1.28,0.56
14714.994684,5865.74517595,33536.635182,25150.3534205,1.32,0.8
17714.034549,8963.81200207,34399.324605,26456.8205043,0.8,0.68
17124.729588,8336.75482935,38173.643349,32519.3899375,0.76,0.32
20364.283952,12211.1654679,34448.757131,26553.1377245,0.2,0.64
11773.7968824,3470.82199973,42160.040467,39703.3585589,1.52,0
16981.738709,8154.16535317,37894.40383,32047.1140201,0.76,0.36
20425.9882,12329.8759654,33980.162639,25859.3630284,0.2,0.68
14342.7537342,5563.08073936,37698.027136,31706.0915342,1.28,0.4
14805.657318,5943.18993503,35602.522223,28293.0075049,1.28,0.6
14863.049259,6029.02131782,41191.584301,37886.7122453,2,0.04
13859.0971793,5111.98706166,39929.538282,35579.1846527,1.28,0.2
16805.11095,7866.27235676,40725.403851,37011.3161795,2,0.08
15011.614049,6127.91022854,33500.313631,25099.546768,1.28,0.8
21519.280824,13414.2615457,22603.3639716,12419.5541851,0.48,1.76
19490.587662,11062.9660899,22516.1691265,12438.0077764,0.88,1.84
13703.198047,4922.34390378,30374.301297,20773.8300154,1.88,1.12
11800.1453443,3484.79163156,41374.709351,38215.9545319,1.64,0.08
16307.810842,7403.13430304,36073.956127,29050.8993407,0,0.56
11084.5645776,3006.35802063,41621.913505,38698.9494553,1.64,0.04
13403.126298,4750.0097249,36863.996236,30313.29676,0,0.52
22239.312232,14354.1017906,23434.9790512,13168.0151538,0.48,1.64
21659.814574,13671.5627299,23366.7497528,13152.3496789,0.48,1.68
14123.0555,5298.31074908,29840.620284,20075.1356099,1.76,1.16
20485.164323,12203.0854739,21457.4517586,11584.2000593,0.76,1.96
20195.00033,11994.2648049,21920.363597,11957.8846886,0.76,1.92
14438.356518,5607.71716081,23086.6324644,12773.1896194,1.88,1.88
20320.992556,11937.9054815,29761.454443,20053.7230195,0.04,1.08
14987.387799,6155.6389992,41496.252403,38445.4388684,0.88,0.04
12315.897248,3855.00805549,32692.973615,23916.2794605,1.88,0.92
15324.3673311,6379.95756613,41164.121097,37825.3244379,0.88,0.08
17607.757881,8839.42863059,30768.388141,21321.9606044,0.04,1.04
23917.002756,16562.1620476,21013.0397962,11108.54247,0.24,1.88
22410.63948,14778.2523435,21905.3262998,11849.4644329,0.24,1.84
22933.699026,15440.8208055,22359.5559201,12257.7729773,0.16,1.76
23404.03352,15972.974436,22426.5565088,12237.236084,0.16,1.72
19475.792823,11273.5375723,24315.9260192,14225.1777826,0.8,1.68
18546.336935,9913.53967251,38591.858145,33244.3919266,0.04,0.28
18039.606406,9364.75571731,39004.226774,33954.8029684,0.48,0.24
14336.278722,5601.34379218,36850.730178,30295.6785472,1.16,0.48
22425.08009,14587.6743409,25287.0840925,14976.1645755,0.4,1.44
17473.507744,8862.56394864,32821.334563,24150.1316932,0.68,0.84
14897.276575,6110.24507137,28722.512724,18759.9009622,1.96,1.28
18992.677979,10431.9823516,40016.330625,35753.0747982,0.36,0.12
13295.288929,4590.59366149,29188.221675,19255.3710591,1.96,1.24
18369.913568,9690.0740665,39864.803371,35472.6092776,0.36,0.16
18769.704338,10104.2332055,32054.444854,23064.9201064,0.68,0.88
20858.303406,12807.6331787,36085.556074,29094.0974636,0.04,0.48
15553.58441,6645.24185153,23712.0846606,13304.4351433,1.72,1.76
20560.354362,12325.2353606,30515.658969,21034.456024,0.36,1
17739.552736,9257.52350378,41215.903159,37956.4750623,0.36,0
19997.907314,11448.8438747,34069.01128,25976.2872524,0.4,0.68
15139.057587,6133.71023015,22549.3930845,12107.0602853,1.96,1.84
19051.713024,10479.3641501,36871.044356,30356.5229147,0.04,0.44
15300.706786,6442.05406204,29004.616457,19084.0888987,1.52,1.24
15360.911531,6366.32035596,28309.933076,18187.2441869,1.52,1.28
20134.833201,11766.5378958,31901.396839,22878.5260669,0.4,0.88
17897.928868,9232.94329653,36043.441663,29006.4528948,0.52,0.52
19495.437362,11154.6580117,32500.030297,23715.0358448,0.4,0.84
18228.694994,9751.84155617,35580.590665,28284.6488931,0.52,0.56
14275.1368252,5476.09050556,36938.901229,30443.5432635,1.32,0.48
14247.648761,5435.85889007,37348.286883,31119.5158659,1.32,0.44
19282.397562,10592.8072045,23546.7786413,13215.1665168,1.16,1.68
21771.433754,13844.6226108,28090.857453,18061.1352477,0.28,1.2
11742.5436786,3424.47071378,40628.443616,36838.190541,1.72,0.16
12416.358678,3945.49039203,34343.78033,26337.7305215,1.76,0.76
11077.1472958,2980.68094048,41112.264274,37723.0793306,1.72,0.12
12985.3660512,4334.66235948,34599.092713,26729.854798,1.76,0.72
21276.706483,13089.2767795,21573.5812978,11514.5364185,0.64,1.88
18535.680995,9899.30123098,41088.346042,37694.1927056,0.24,0.04
21175.407766,13020.1599161,21915.5906019,11775.4158745,0.64,1.84
22033.724433,14217.962097,23946.5786309,13606.9969906,0.28,1.6
