   x   y
   8.6315873e-01   0.0000000e+00
   7.9638825e-01   2.2684420e-02
   9.0859109e-01   0.0000000e+00
   9.7331938e-01   0.0000000e+00
   7.0790173e-01   2.9769156e-01
   6.1327850e-01   8.6034447e-02
   6.5490762e-01   0.0000000e+00
   8.9295518e-01   8.1645617e-02
   9.4930568e-01   7.2190914e-02
   9.9223730e-01   6.3279450e-03
   7.9439864e-01   6.6008119e-02
   9.0912954e-01   3.9663577e-02
   8.5581651e-01   8.9996411e-04
   7.5904018e-01   8.6109476e-02
   9.6497825e-01   1.7212082e-02
   9.4633166e-01   3.7482635e-02
   8.6390928e-01   1.8113952e-01
   8.9230486e-01   5.9509233e-02
   8.2442153e-01   0.0000000e+00
   5.9936280e-01   1.8272131e-01
   9.2703615e-01   0.0000000e+00
   6.4364985e-01   1.4964719e-01
   7.5789328e-01   0.0000000e+00
   9.7913403e-01   0.0000000e+00
   9.8875409e-01   7.3908722e-04
   7.7871294e-01   2.2239637e-02
   7.6334831e-01   2.0989077e-01
   8.0632895e-01   1.1792420e-01
   8.0887700e-01   2.0101253e-01
   1.0323551e+00   0.0000000e+00
   1.0046734e+00   1.1294141e-02
   6.2244710e-01   4.6829597e-01
   8.7337235e-01   7.6918167e-02
   9.8428413e-01   3.3857256e-02
   8.8277290e-01   1.2812025e-01
   8.6542980e-01   5.5664276e-02
   9.4138275e-01   0.0000000e+00
   7.9127047e-01   0.0000000e+00
   8.2186751e-01   2.6253835e-02
   9.8083194e-01   0.0000000e+00
   8.2733750e-01   8.5349328e-02
   8.0330224e-01   2.7773339e-01
   8.8512009e-01   0.0000000e+00
   8.5517310e-01   0.0000000e+00
   9.6672151e-01   5.6275083e-02
   8.8440738e-01   1.3816113e-01
   1.0564545e+00   8.6245893e-02
   9.4367751e-01   0.0000000e+00
   8.5231898e-01   1.0304466e-01
   7.3080772e-01   7.4301463e-02
   8.6798514e-01   7.6557879e-02
   7.5203566e-01   1.7261994e-01
   9.1246177e-01   0.0000000e+00
   8.6624377e-01   8.9402726e-02
   9.7768577e-01   4.7719838e-02
   7.7394713e-01   3.4518753e-01
   8.7443691e-01   0.0000000e+00
   9.2278773e-01   0.0000000e+00
   9.2778969e-01   7.3239965e-02
   1.0552212e+00   0.0000000e+00
   8.5997367e-01   0.0000000e+00
   8.8049716e-01   0.0000000e+00
   9.4647503e-01   2.2826114e-01
   9.1188101e-01   2.6198549e-01
   9.0108797e-01   7.4837030e-02
   1.0421839e+00   0.0000000e+00
   9.0531176e-01   0.0000000e+00
   7.3623440e-01   1.7257670e-01
   9.2268619e-01   0.0000000e+00
   1.1269705e+00   4.4204470e-02
   8.6005474e-01   1.8744455e-01
   1.0136661e+00   1.0895417e-02
   5.1566485e-01   2.3022575e-01
   1.0060130e+00   0.0000000e+00
   6.7766562e-01   3.1387275e-01
   1.0348512e+00   0.0000000e+00
   8.8865198e-01   3.9129720e-02
   1.0502625e+00   0.0000000e+00
   8.7616820e-01   1.7549750e-01
   8.8081819e-01   1.6124914e-01
   3.7240414e-01   6.0527274e-02
   8.2869559e-01   8.9732498e-02
   9.1527579e-01   0.0000000e+00
   9.8506803e-01   1.5879747e-01
   7.9859658e-01   2.4604195e-01
   1.0361289e+00   0.0000000e+00
   6.8706565e-01   2.3128430e-01
   8.5704845e-01   9.9009822e-02
   9.6584669e-01   0.0000000e+00
   9.9003143e-01   3.0167091e-02
   8.2455002e-01   6.5878283e-02
   6.0489587e-01   4.1512542e-01
   5.5643858e-01   0.0000000e+00
   8.7701071e-01   2.9122852e-01
   8.6668090e-01   1.3970785e-01
   1.0443153e+00   5.3369141e-02
   1.3738128e-01   2.5027764e-01
   9.3162538e-01   3.3539070e-02
   9.6546819e-01   0.0000000e+00
   7.6123871e-01   0.0000000e+00
   9.7907142e-01   0.0000000e+00
   9.3488430e-01   2.0558885e-01
   7.4535644e-01   2.4843274e-01
   7.8007283e-01   1.7446283e-01
   9.6183809e-01   0.0000000e+00
   9.2872698e-01   0.0000000e+00
   9.1439812e-01   0.0000000e+00
   9.4947312e-01   0.0000000e+00
   6.4778401e-01   3.1712204e-01
   8.7934386e-01   0.0000000e+00
   9.3412179e-01   0.0000000e+00
   8.0568950e-01   7.0675483e-02
   8.5027133e-01   0.0000000e+00
   7.9253962e-01   1.2228405e-01
   9.9058672e-01   0.0000000e+00
   8.6466661e-01   0.0000000e+00
   8.3417934e-01   0.0000000e+00
   8.9371133e-01   3.7327646e-02
   6.9014759e-01   2.4695814e-01
   9.9609142e-01   0.0000000e+00
   1.0480090e+00   0.0000000e+00
   1.0817514e+00   0.0000000e+00
   8.1875070e-01   1.3108163e-01
   6.9234407e-01   2.1652498e-01
   7.9484581e-01   1.9134676e-01
   1.0009195e+00   8.4522531e-02
   9.3181255e-01   0.0000000e+00
   9.7210665e-01   3.5333117e-02
   6.4751613e-01   7.0135971e-02
   8.3141656e-01   4.3932047e-02
   9.9008718e-01   0.0000000e+00
   7.3215058e-01   1.7856198e-01
   7.5649026e-01   3.0064176e-01
   8.6675963e-01   1.3587258e-01
   1.0541286e+00   1.2550462e-01
   9.7848941e-01   0.0000000e+00
   8.6757993e-01   6.6892505e-02
   1.0579939e+00   0.0000000e+00
   7.5683993e-01   1.5191776e-01
   8.4656239e-01   0.0000000e+00
   7.7607059e-01   2.3255336e-01
   9.4215297e-01   0.0000000e+00
   8.7919298e-01   8.2435849e-02
   8.1783418e-01   7.5663566e-02
   8.4003486e-01   0.0000000e+00
   9.1299045e-01   0.0000000e+00
   7.5380089e-01   0.0000000e+00
   6.8529467e-01   1.5563634e-01
   9.5218119e-01   0.0000000e+00
   8.1395174e-01   3.1976225e-01
   9.6592632e-01   0.0000000e+00
   9.1745373e-01   0.0000000e+00
   1.0138732e+00   0.0000000e+00
   9.1565035e-01   0.0000000e+00
   6.9051046e-01   2.8039012e-01
   8.8761504e-01   0.0000000e+00
   9.3172933e-01   1.6594064e-03
   9.9164660e-01   6.7564034e-02
   9.1309752e-01   8.7147975e-02
   9.8506602e-01   0.0000000e+00
   1.0195745e+00   0.0000000e+00
   6.8124725e-01   7.7899360e-02
   8.7148542e-01   0.0000000e+00
   9.2814774e-01   0.0000000e+00
   7.4744300e-01   3.3684807e-01
   9.4921241e-01   0.0000000e+00
   7.6492266e-01   2.1321861e-02
   9.4734709e-01   0.0000000e+00
   9.3228378e-01   0.0000000e+00
   9.3871353e-01   1.4184415e-01
   1.0156221e+00   7.0212040e-02
   8.9704637e-01   1.3870368e-01
   9.2354932e-01   0.0000000e+00
   5.5336123e-01   5.0513108e-01
   9.0638637e-01   2.7504544e-01
   6.6894732e-01   1.9304583e-01
   7.6474225e-01   1.6528813e-02
   9.3217258e-01   2.7334046e-01
   9.1262648e-01   2.4927145e-01
   1.0608579e+00   0.0000000e+00
   8.8304341e-01   8.7497440e-02
   1.0569843e+00   0.0000000e+00
   6.4401675e-01   9.1610146e-02
   7.3932302e-01   4.8556628e-02
   1.0125888e+00   0.0000000e+00
   8.0986998e-01   5.6883974e-02
   8.0290651e-01   1.4583647e-01
   4.1184833e-01   1.4602649e-01
   6.5429848e-01   4.2185439e-01
   9.4982923e-01   0.0000000e+00
   4.5618166e-01   1.1981950e-01
   8.5175816e-01   4.8707859e-02
   9.4363067e-01   0.0000000e+00
   8.9662517e-01   3.2840120e-02
   9.9299425e-01   0.0000000e+00
   7.5215180e-01   1.4498350e-01
   1.0539405e+00   0.0000000e+00
   1.0091260e+00   0.0000000e+00
   7.9410632e-01   2.1059643e-01
   7.4841362e-01   3.4544190e-02
   8.8570380e-01   0.0000000e+00
   1.0630981e+00   0.0000000e+00
   8.3627403e-01   1.6635501e-01
   9.1812422e-01   1.0546279e-01
   8.2747232e-01   0.0000000e+00
   8.5175459e-01   0.0000000e+00
   9.2640092e-01   0.0000000e+00
   1.0272038e+00   0.0000000e+00
   8.7989581e-01   0.0000000e+00
   9.0053786e-01   0.0000000e+00
   9.3668010e-01   1.9512637e-01
   7.7214751e-01   0.0000000e+00
   8.5932249e-01   9.6878026e-02
   1.0400822e+00   2.7312997e-02
   9.5942562e-01   0.0000000e+00
   9.0998051e-01   0.0000000e+00
   7.7245096e-01   6.9836638e-02
   7.6852837e-01   1.8980586e-01
   9.6641968e-01   0.0000000e+00
   7.2561564e-01   1.8021782e-01
   7.1847555e-01   3.0520313e-01
   1.0728583e+00   0.0000000e+00
   8.9197946e-01   1.8994701e-01
   5.6973742e-01   3.1302103e-01
   7.8764288e-01   1.0164465e-01
   7.4544948e-01   2.2039425e-01
   5.0576412e-01   6.2188310e-01
   7.5219564e-01   0.0000000e+00
   9.4195171e-01   0.0000000e+00
   9.2139762e-01   0.0000000e+00
   8.9494299e-01   0.0000000e+00
   6.7880976e-01   3.2765085e-01
   8.4680674e-01   0.0000000e+00
   9.3759009e-01   2.6365162e-01
   9.9807129e-01   1.2986033e-01
   9.9362277e-01   1.1790153e-01
   9.8440587e-01   0.0000000e+00
   8.4519967e-01   8.6057274e-02
   8.1699009e-01   1.4394089e-01
   1.0239283e+00   0.0000000e+00
   5.9976022e-01   5.0135759e-01
   1.0268872e+00   0.0000000e+00
   6.0856422e-01   7.2392054e-02
   9.3394707e-01   1.6105423e-01
   9.2908230e-01   0.0000000e+00
   8.1271766e-01   0.0000000e+00
   6.8961773e-01   2.0519251e-01
   6.7027932e-01   1.4601116e-01
   9.1629369e-01   0.0000000e+00
   8.8884799e-01   3.1067514e-02
   8.3725748e-01   2.1822312e-01
   8.2574824e-01   0.0000000e+00
   1.0275001e+00   0.0000000e+00
   7.0103420e-01   3.5958061e-01
   9.9910552e-01   0.0000000e+00
   9.5348854e-01   1.5481928e-01
   8.7172529e-01   0.0000000e+00
   8.1210349e-01   1.6878382e-01
   9.0194455e-01   9.3317145e-02
   8.7625826e-01   2.6846570e-02
   8.9699848e-01   0.0000000e+00
   8.5738763e-01   9.5156635e-02
   9.9795038e-01   1.5077240e-02
   9.7326419e-01   0.0000000e+00
   9.0243978e-01   1.1076661e-01
   7.6874569e-01   1.7465968e-01
   7.9783357e-01   2.2275525e-01
   8.8032102e-01   0.0000000e+00
   7.4154697e-01   1.5097688e-01
   8.7470340e-01   3.2756722e-02
   6.0036479e-01   2.7117348e-01
   8.5872887e-01   4.0559546e-03
   8.7521052e-01   3.6262748e-02
   7.3631850e-01   3.7588502e-01
   7.9062036e-01   1.3171904e-01
   8.1209220e-01   3.0897730e-01
   7.5228999e-01   6.6510206e-02
   8.9133089e-01   0.0000000e+00
   8.3806979e-01   0.0000000e+00
   9.4442930e-01   0.0000000e+00
   7.5952465e-01   2.6622946e-01
   8.7605390e-01   2.8662455e-02
   9.6244413e-01   0.0000000e+00
   9.8994228e-01   0.0000000e+00
   5.2901350e-01   1.0318596e-01
   9.3299305e-01   1.2215451e-01
   7.9741850e-01   4.0678940e-02
   8.0295706e-01   2.1009821e-01
   1.0208636e+00   0.0000000e+00
   9.8655357e-01   0.0000000e+00
   8.7236151e-01   0.0000000e+00
   8.9705306e-01   1.6978213e-01
   1.0543149e+00   3.4248055e-02
   6.2290825e-01   0.0000000e+00
   7.0379919e-01   8.3048804e-02
   7.7730327e-01   2.0891561e-01
   6.8487622e-01   2.0751656e-01
   7.7156892e-01   4.6294211e-01
   9.2292599e-01   0.0000000e+00
   5.9684999e-01   1.7703209e-01
   8.5854011e-01   0.0000000e+00
   9.1776196e-01   2.0662187e-02
   8.7681943e-01   2.9965666e-01
   1.0168801e+00   0.0000000e+00
   9.5553771e-01   1.0166925e-01
   9.6412430e-01   0.0000000e+00
   9.5871934e-01   0.0000000e+00
   6.8590191e-01   9.6433113e-02
   7.6044492e-01   1.0304571e-01
   9.3418375e-01   0.0000000e+00
   9.7772680e-01   6.6333070e-02
   6.0717978e-01   2.9936845e-01
   8.9422814e-01   0.0000000e+00
   8.0669788e-01   9.6936014e-02
   7.6760391e-01   3.2866874e-03
   8.9476126e-01   1.5943496e-01
   7.4685866e-01   1.3663309e-01
   9.3343615e-01   1.6545257e-01
   9.5400596e-01   0.0000000e+00
   8.3510233e-01   0.0000000e+00
   6.8362126e-01   0.0000000e+00
   9.3121614e-01   0.0000000e+00
   9.9588683e-01   8.8957595e-02
   9.9757984e-01   0.0000000e+00
   9.5841471e-01   1.5809432e-01
   7.9400442e-01   2.3608887e-01
   5.2986759e-01   0.0000000e+00
   6.9057220e-01   5.1349895e-02
   9.7103749e-01   8.2171488e-03
   8.9347447e-01   0.0000000e+00
   9.2637589e-01   2.6916332e-02
   6.9522513e-01   1.3724578e-01
   8.6907654e-01   1.1226312e-01
   8.9764878e-01   1.4404389e-01
   9.4243043e-01   0.0000000e+00
   6.9799811e-01   1.1292810e-01
   7.4481472e-01   0.0000000e+00
   9.2717570e-01   1.0396765e-01
   9.0238902e-01   0.0000000e+00
   8.6646907e-01   0.0000000e+00
   8.9524224e-01   0.0000000e+00
   8.3986726e-01   2.5293624e-02
   5.0280268e-01   5.0194414e-01
   8.7102237e-01   0.0000000e+00
   9.2375119e-01   0.0000000e+00
   7.5936678e-01   1.6293563e-01
   1.0128622e+00   2.1782957e-01
   6.1153169e-01   1.8540070e-01
   8.4624610e-01   7.8556986e-02
   8.6809782e-01   0.0000000e+00
   1.0241059e+00   0.0000000e+00
   6.7511711e-01   2.8683913e-01
   9.0935538e-01   3.1872469e-02
   1.0914648e+00   4.6337630e-02
   8.1204688e-01   1.4655579e-01
   8.9043757e-01   0.0000000e+00
   8.6112905e-01   2.1936961e-02
   6.2279247e-01   1.0300471e-01
   7.8447617e-01   2.6692812e-01
   1.0018944e+00   0.0000000e+00
   9.0851314e-01   0.0000000e+00
   8.4797000e-01   9.7520446e-02
   9.3827198e-01   0.0000000e+00
   8.6128940e-01   0.0000000e+00
   7.7816217e-01   0.0000000e+00
   7.9752411e-01   3.0067234e-01
   8.8516534e-01   7.2150477e-02
   4.2295400e-01   0.0000000e+00
   9.5472336e-01   0.0000000e+00
   9.4812272e-01   0.0000000e+00
   9.3213897e-01   1.9688354e-01
   6.8205154e-01   1.0169708e-01
   8.0589049e-01   3.8401241e-02
   1.0010586e+00   0.0000000e+00
   9.6026971e-01   0.0000000e+00
   8.6995528e-01   0.0000000e+00
   8.4086041e-01   0.0000000e+00
   8.2927398e-01   1.0221192e-01
   8.7133354e-01   8.5341130e-02
   6.9655797e-01   2.7885190e-01
   6.0288402e-01   7.3540139e-02
   7.5283547e-01   0.0000000e+00
   1.0811586e+00   0.0000000e+00
   9.2237501e-01   1.3068250e-01
   9.0266057e-01   0.0000000e+00
   8.3815285e-01   1.1184264e-01
   9.0095390e-01   5.8317654e-02
   1.1341585e+00   0.0000000e+00
   9.4627454e-01   4.8779974e-02
   9.7254656e-01   7.1761274e-02
   9.4957040e-01   1.0258152e-02
   7.1024850e-01   2.5480318e-01
   6.9458378e-01   1.6804908e-01
   8.8753009e-01   5.5362370e-02
   5.2858885e-01   5.0990677e-01
   9.6542508e-01   0.0000000e+00
   9.4475846e-01   8.9101094e-02
   9.4735182e-01   0.0000000e+00
   5.0452620e-01   3.9343271e-02
   6.5467183e-01   2.1129571e-01
   9.1981910e-01   0.0000000e+00
   8.4495384e-01   2.9391928e-02
   8.8813909e-01   9.3923062e-02
   2.0926050e-01   7.0469733e-01
   9.1750857e-01   0.0000000e+00
   1.0453274e+00   0.0000000e+00
   9.6314069e-01   0.0000000e+00
   8.1025390e-01   2.5115988e-02
   7.5610373e-01   0.0000000e+00
   1.1031708e+00   8.1646100e-02
   8.9817904e-01   1.8853509e-02
   9.1001294e-01   0.0000000e+00
   7.4975698e-01   1.0295995e-01
   4.8885661e-01   1.1040899e-01
   8.5873241e-01   1.5278347e-02
   9.3043975e-01   2.0260473e-02
   9.0193276e-01   0.0000000e+00
   9.9705132e-01   0.0000000e+00
   9.8446968e-01   4.6668056e-02
   9.1728355e-01   0.0000000e+00
   8.9178301e-01   4.7207836e-02
   9.1438303e-01   0.0000000e+00
   1.0696987e+00   0.0000000e+00
   9.7098803e-01   0.0000000e+00
   8.4461700e-01   1.3487185e-01
   8.4914460e-01   0.0000000e+00
   4.1608057e-01   3.5482013e-01
   8.6579556e-01   0.0000000e+00
   9.3848058e-01   2.0664987e-01
   7.8992949e-01   4.2286834e-01
   8.3768332e-01   0.0000000e+00
   9.8876591e-01   9.9554990e-02
   1.6135096e-01   5.7650187e-01
   8.6955406e-01   0.0000000e+00
   7.4185049e-01   4.7661585e-02
   9.9752615e-01   0.0000000e+00
   1.0310136e+00   0.0000000e+00
   1.0001017e+00   1.7587095e-01
   7.9935964e-01   3.8845000e-02
   9.9955391e-01   0.0000000e+00
   8.3476439e-01   3.0064665e-02
   9.9659811e-01   4.7756968e-02
   8.5544881e-01   1.0452512e-01
   4.6095053e-01   2.0204249e-01
   9.0072242e-01   0.0000000e+00
   9.4165353e-01   0.0000000e+00
   6.7830645e-01   2.4289949e-01
   7.5869723e-01   1.4749724e-01
   7.6199925e-01   1.3260847e-03
   9.6989710e-01   0.0000000e+00
   8.5759528e-01   0.0000000e+00
   7.9773570e-01   1.8251639e-01
   8.8860338e-01   2.4266445e-01
   9.1673591e-01   0.0000000e+00
   8.7872189e-01   2.2786836e-01
   6.6231843e-01   9.3326458e-02
   8.6997610e-01   2.8266074e-03
   9.3865714e-01   0.0000000e+00
   9.5587950e-01   0.0000000e+00
   5.9201749e-01   1.4309373e-01
   5.9192965e-01   2.8140913e-01
   1.0744750e+00   0.0000000e+00
   9.5175521e-01   2.3632112e-01
   7.9732624e-01   1.9425686e-01
   9.3863597e-01   0.0000000e+00
   5.8497952e-01   0.0000000e+00
   9.2744193e-01   1.0806659e-01
   9.4011250e-01   0.0000000e+00
   8.8922734e-01   8.1907031e-02
   5.1046874e-01   1.2166705e-01
   7.1547332e-01   2.5498548e-01
   4.9075074e-01   2.4547914e-01
   8.7579830e-01   2.1346784e-01
   1.0189328e+00   0.0000000e+00
   8.9321975e-01   0.0000000e+00
   9.1344179e-01   1.9234399e-01
   6.1122406e-01   1.7135348e-01
   8.4414465e-01   9.6111612e-02
   8.1356955e-01   1.1612002e-01
   8.3031967e-01   0.0000000e+00
   9.2216252e-01   0.0000000e+00
   8.1665927e-01   0.0000000e+00
   7.6261987e-01   5.2101013e-02
   1.0533866e+00   1.7212264e-02
   1.0817138e+00   0.0000000e+00
   9.3683636e-01   1.6495073e-01
   8.8941637e-01   0.0000000e+00
   6.0809148e-01   2.8665607e-01
   8.6135767e-01   1.0388366e-01
   9.2841216e-01   0.0000000e+00
   8.0307877e-01   1.5292826e-01
   9.7346408e-01   1.1670339e-01
   2.4199339e-01   2.1112663e-01
   7.4810304e-01   1.6630278e-01
   8.7081115e-01   8.5614547e-02
   7.6146714e-01   3.3530105e-01
   8.7489053e-01   0.0000000e+00
   7.2727503e-01   2.0867366e-01
   1.0033737e+00   0.0000000e+00
   7.6944748e-01   0.0000000e+00
   7.2801139e-01   1.3268610e-01
   9.2709431e-01   0.0000000e+00
   8.7839177e-01   2.4396219e-01
   7.5962363e-01   0.0000000e+00
   1.0551139e+00   0.0000000e+00
   9.1471475e-01   0.0000000e+00
   8.2351526e-01   1.2482375e-01
   8.4979733e-01   3.0727025e-01
   6.7159904e-01   1.5480290e-01
   8.3705854e-01   8.8033569e-02
